,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
569,75.42552,76.98045,72.51287,72.05776,76.07024,71.96674,70.22219,75.47861,75.51654,75.53171,78.35334,75.19797,72.71766,77.93616,73.74164,70.83657,72.50528,74.28776,72.65698
570,70.56689,72.70637,68.00525,67.77628,71.81194,67.94085,66.5527,70.65276,70.98191,71.27528,73.95141,70.93898,68.48466,73.64373,69.87997,66.51692,68.90683,70.17335,68.7351
571,64.77353,65.91847,62.42511,61.86565,64.83208,61.76157,60.43448,64.89063,64.74101,64.4938,66.67959,64.94918,62.47065,66.49745,63.45946,60.85082,62.39258,63.52451,62.50968
572,57.97345,59.19437,56.26766,55.62507,58.26553,55.73606,56.15619,58.31227,58.2188,57.92087,59.7026,58.17207,56.26766,59.87785,59.07753,54.90653,56.44291,57.24907,56.90441
573,52.72351,53.24379,51.16267,50.67955,53.15354,51.10427,51.67764,53.01019,52.82438,52.87747,54.37991,52.95179,51.17859,54.433,52.66511,49.98407,51.62986,52.30941,51.96963
574,50.63206,49.20114,49.20114,48.8396,50.8663,49.08912,49.61361,50.83575,50.72372,50.64225,52.05279,50.90704,49.25716,52.09353,50.45893,48.20307,49.73074,50.15339,49.76129
575,46.71922,45.35327,45.89777,44.99652,46.48452,45.09979,45.46123,47.49372,47.16045,46.30615,47.50311,46.92575,45.51756,47.3576,46.1841,44.76183,45.66776,45.86022,45.71001
576,46.01289,45.46885,45.00319,44.2609,46.06361,44.75883,45.12767,46.50161,45.88841,45.90224,47.05026,45.90685,44.84643,46.8059,45.83308,43.92894,45.80542,45.45502,46.02672
577,45.01486,44.61742,44.10707,43.33476,45.06454,44.00319,44.18836,45.50715,44.9697,44.91098,46.02202,45.02841,43.90383,45.85491,44.80259,43.08185,44.67613,44.50902,44.72581
578,44.56146,44.36903,43.89469,43.12053,44.48538,43.52774,43.63067,45.27297,44.72255,44.33771,45.37589,44.75388,43.63962,45.18347,44.26163,42.8923,44.25716,43.90811,44.36008
579,44.25052,44.14802,43.85391,42.99831,44.2015,43.3147,43.40383,45.20861,44.5268,44.07672,45.11948,44.7006,43.4573,44.9546,44.03216,42.90027,43.88065,43.64447,44.01434
580,47.06649,46.95836,45.88642,45.42097,46.71858,45.5056,45.78299,47.24515,46.94895,46.56343,47.72,47.35328,45.86761,47.48962,46.43649,44.99314,46.44119,46.08858,46.16851
581,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
582,71.34138,71.89144,69.72014,68.98914,72.72376,70.08926,69.01809,72.26779,71.5006,72.35464,74.54765,71.75392,69.79252,74.41737,72.07961,68.38842,71.11701,71.50784,71.65983
583,63.08,63.08,63.08,63.08,63.08,63.08,65.99984,63.08,63.08,63.08,63.08,63.08,63.08,63.08,67.5849,63.08,63.08,63.08,56.4895
584,45.25515,45.24485,45.2603,45.2397,48.58624,45.46109,49.37333,45.2603,45.25,48.82822,47.5205,45.24485,45.2397,46.1098,51.62762,45.26545,45.69277,45.69277,48.84252
585,41.02305,41.01122,41.02897,40.99938,45.40019,41.96718,45.60876,41.02305,41.01713,45.67238,44.19686,41.0053,40.99938,42.57555,47.71764,41.00153,42.11402,42.14145,45.15792
586,32.15339,32.71113,31.3764,30.43906,43.92086,36.42486,36.95186,32.64793,32.99974,44.22645,43.03713,31.19688,31.12708,40.52183,37.78099,29.84907,37.77405,37.65569,37.5724
587,27.90645,28.25125,27.23218,26.57288,37.72721,30.51375,30.89303,28.30589,28.66298,38.08625,36.50098,27.19555,27.18743,33.9319,31.49137,25.87618,31.40364,31.51609,31.10273
588,24.3193,24.35348,23.56509,23.00318,35.72462,26.52443,26.88907,24.60341,24.77605,36.25959,33.7229,23.51663,23.47358,30.06168,27.46505,22.27764,27.42017,27.65686,27.14945
589,23.12516,23.45028,22.49432,21.88939,36.40267,25.3593,25.73981,23.49022,23.65021,37.07,33.75652,22.34344,22.36412,29.23205,26.33555,21.28047,26.30401,26.6404,26.12663
590,26.65394,26.16379,25.60924,24.92248,35.58898,28.065,28.46021,26.72704,26.88723,35.97716,34.23075,25.4183,25.44166,31.33666,28.99502,24.3257,28.95682,29.05842,28.87848
591,40.77343,41.07095,39.994,38.95476,42.50829,40.90333,41.40619,41.67019,41.72467,42.3281,43.5601,39.94371,39.57914,43.53496,42.018,38.29266,41.03324,41.64924,41.57381
