,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
414,96.11356,100.47339,101.1501,96.71887,97.41974,94.46702,94.67865,105.02996,101.34006,97.12801,99.70735,99.91526,97.94833,98.1151,97.06703,96.85471,96.89571,95.54532,96.29106
415,88.46783,85.35553,85.45851,79.9146,84.06824,81.26196,116.30743,89.16589,86.30812,83.69064,85.99917,82.97834,82.08582,84.84919,105.34832,80.83287,97.4959,82.19739,90.54047
416,78.69941,76.12259,76.27138,69.19945,80.53965,72.78315,106.09519,80.15233,76.85412,80.55,80.70616,72.16746,71.59424,78.2848,96.44938,71.16609,83.05534,74.01519,79.88468
417,74.79819,72.69148,73.11582,65.62651,80.23822,70.88917,92.94996,75.82442,74.00931,80.45,79.79601,68.63155,67.82347,76.28449,86.48797,68.00937,94.38678,71.46068,76.90888
418,76.2279,75.70395,74.00545,67.32275,82.14714,72.12741,74.39383,77.89447,76.60746,82.2373,81.85276,70.70338,69.32119,78.44376,76.44743,69.68488,97.38772,73.41376,71.94799
419,79.0629,79.06654,77.32822,71.43209,83.15627,75.24867,112.10107,81.37841,80.60337,83.12781,84.01204,73.95316,72.03242,81.43839,87.8233,71.93192,104.48426,76.44932,74.37976
420,78.42668,82.77582,79.82495,74.55617,87.84278,78.56264,121.84868,85.09781,83.90853,88.77652,89.83462,76.72224,75.03342,85.71606,88.82073,74.85384,90.08371,79.86043,75.40756
421,84.84502,90.00998,85.68235,80.51145,68.35724,83.44977,106.2203,93.24222,90.71771,80.59,94.51577,82.54325,80.79813,91.35475,99.4177,79.79652,95.1856,85.10712,89.09112
422,92.40941,93.52756,92.44849,85.54575,27.91143,91.46864,148.73032,101.24094,97.70164,64.45244,110.42434,89.7469,86.36062,102.3635,131.58794,88.22528,188.77911,93.2564,95.57509
423,101.27137,97.69436,100.31399,79.46855,41.04268,99.03048,179.66275,108.4385,106.06876,72.87078,109.28807,98.24143,96.27408,108.80412,129.98335,95.02213,224.6748,101.4397,110.02339
424,105.49777,105.18888,105.23301,99.62882,52.09175,103.78783,206.96742,115.23913,110.70481,80.76,114.43359,103.07076,99.83842,113.58413,130.19063,99.56263,216.18422,106.64509,115.82401
425,123.21883,121.29805,121.59935,111.55604,107.72699,116.61535,281.07065,129.5018,126.4829,113.21062,128.61711,119.00064,116.10063,128.49158,231.09131,115.46037,261.4177,120.16817,164.12012
426,152.72908,150.68015,148.08482,141.07292,141.63948,140.16228,260.4458,154.05357,152.7139,141.8473,153.12369,149.20795,144.18427,152.91121,230.48253,142.33264,270.06107,144.2298,178.921
427,172.15746,166.23727,164.66869,158.96777,162.67842,154.71739,289.44095,170.58946,169.52628,161.46404,168.32874,169.307,161.66643,167.43481,253.88902,159.82797,260.4374,159.11957,197.07056
428,142.75832,135.5462,136.97476,128.79178,132.52266,126.47558,271.7634,142.78606,139.92896,131.84306,136.94702,139.15227,132.49492,136.71124,228.28961,131.92627,226.2308,130.13712,168.2579
429,126.31476,122.63739,122.73711,117.73837,120.49329,115.44469,176.36604,127.99763,125.66655,119.72042,123.27314,124.41998,119.64562,122.66232,161.565,118.76056,172.37233,117.73837,136.00525
430,103.46245,100.67811,100.29796,95.93137,100.70893,96.58892,118.16682,104.41796,102.57886,100.08219,103.28778,101.81856,98.21227,102.322,115.84369,96.88688,131.17404,98.40748,105.53461
431,97.77634,99.1948,95.7361,93.4724,94.74512,91.25727,113.67282,98.87419,97.17398,94.27878,96.8728,96.79508,94.71597,95.95955,110.28134,92.31626,111.86446,92.83118,89.03966
432,83.84388,83.27118,82.06683,87.61159,87.60283,83.50113,103.53431,84.39868,82.97009,87.35,88.96853,82.40198,88.76026,86.40939,98.14205,79.3994,92.71565,84.22601,90.15017
433,82.06832,81.96455,80.33272,84.98114,84.68693,81.45088,85.83806,82.36223,81.26062,84.47987,85.99948,81.0787,85.40395,84.08924,86.76306,78.09615,87.59155,82.32188,79.42383
434,79.88666,80.36796,78.43007,86.07171,86.1315,81.76355,247.70036,80.75204,79.15353,85.91471,87.08566,79.0406,86.73418,84.84099,84.90017,76.39011,88.33753,82.76118,83.93636
435,76.64683,76.44253,76.78303,85.97641,83.25244,81.41377,81.41377,76.71493,76.57873,83.32054,82.84385,76.44253,85.97641,81.41377,81.41377,76.91923,83.04815,81.41377,81.41377
436,76.72147,76.51258,76.86074,86.19141,83.40613,81.66534,81.66534,76.7911,76.58221,83.5454,81.66534,76.44294,86.26104,81.66534,81.66534,77.0,83.19724,81.66534,81.66534
437,80.04229,85.61699,78.03474,84.9448,85.46362,81.30544,83.23848,79.95461,79.11666,85.26669,86.03173,79.26317,85.97492,84.30585,83.66711,76.32976,86.56712,82.37281,82.87708
438,81.07359,86.92869,79.12101,62.78484,84.20958,80.0113,81.13998,81.12566,80.56815,83.98575,84.94225,80.17329,84.2143,83.53949,82.46933,77.42761,85.876,81.21523,82.0931
439,74.47515,79.64745,72.83386,71.29798,76.16913,73.3383,74.91182,74.97205,74.16647,75.8981,77.00483,73.1049,73.05973,76.54558,75.95833,70.17619,77.41892,74.06106,75.63459
440,60.61743,64.825,62.62232,56.45635,77.32014,61.66294,62.73745,62.856,61.71067,78.18827,73.88007,58.44189,58.17045,68.38863,63.62008,59.32203,68.30853,62.20659,63.42181
441,57.38287,62.11131,59.67148,53.8528,71.93631,59.18808,60.46693,60.32752,59.5612,72.59955,69.43633,55.81497,55.58444,65.18687,61.14613,56.33668,64.21684,59.72655,61.51938
442,60.12193,64.77558,60.06503,56.60516,70.31136,61.11579,62.10825,62.80854,62.2844,70.66,69.1691,57.82199,57.88842,66.34438,62.80361,57.51256,67.42935,61.74161,63.41679
443,63.76618,68.66575,63.5362,59.76902,78.0814,64.79389,66.34592,69.99949,66.1825,78.69,75.97712,61.08159,61.11186,71.57724,67.14218,61.40641,83.04526,65.47543,67.18941
444,68.91015,73.26922,67.67792,63.71801,80.73585,70.62686,72.41854,72.68446,71.06682,80.94672,80.24765,64.99928,65.04053,77.17934,73.32072,65.04931,93.05956,71.6013,73.38938
445,73.00267,73.42837,71.69364,66.99648,97.85081,74.2551,76.35923,78.55763,75.52826,99.03178,93.20848,69.42873,68.34647,85.70511,77.43043,70.62245,100.26973,75.93671,77.68738
446,76.42763,78.15826,75.48906,70.91692,83.79507,78.02741,91.19901,81.30635,78.64028,83.38265,85.55138,72.0559,72.25021,85.38861,88.4877,71.30846,140.1941,79.95953,80.34979
447,80.22172,82.48059,78.54051,77.06195,84.66191,81.84212,105.32596,84.73129,83.01813,83.94836,87.09399,77.41388,78.13285,87.53619,106.49385,75.38995,149.75555,83.92266,92.75712
448,85.09005,80.39338,81.97349,80.55052,88.96611,84.89001,141.09103,89.81808,86.42572,88.26773,92.18744,81.57191,81.52826,92.55409,124.27938,78.34186,130.69978,85.8932,85.47442
449,95.88987,90.18767,93.81455,91.94676,100.08994,86.62966,141.41945,100.25513,97.92567,99.3191,103.71681,94.10114,93.90349,103.05469,145.65894,90.33591,148.33887,96.73977,88.5006
450,118.37981,111.68624,114.1354,81.10686,118.7127,97.96276,168.25813,117.97558,118.0588,117.82102,122.648,116.537,114.45641,121.53042,205.19173,110.69945,152.98532,115.15786,145.6524
451,136.75883,128.52805,131.0815,130.33447,134.4363,133.42735,177.69907,134.85735,135.48212,133.55345,138.52452,136.59586,132.07298,137.41078,187.47314,128.36507,147.4352,130.66045,151.67157
452,115.95239,107.77656,111.61794,108.64803,112.78755,106.75447,141.93025,115.72306,114.56491,112.06514,115.82626,115.14972,111.3198,114.54198,136.1132,108.51043,122.36339,109.42778,113.00389
453,105.21436,99.70614,102.08637,99.09529,103.58191,102.75081,131.36086,105.76203,105.00372,103.01318,106.14118,105.08798,102.03371,105.10904,125.68109,99.63242,112.81844,100.94892,103.58191
454,90.98235,85.87876,87.41501,89.30577,91.80997,87.90911,99.97232,90.28751,89.35468,91.4104,92.98416,89.43129,91.61905,92.03374,100.29411,84.87191,97.32707,88.86876,91.65542
455,83.41257,82.54333,81.6845,89.97464,89.70777,85.26417,96.57419,84.42593,82.69974,89.42862,89.60205,82.44915,91.52135,88.61536,96.73596,79.23281,94.02087,86.2153,89.84205
456,81.59378,85.55371,79.60936,84.41578,85.68818,82.24948,101.58079,81.66116,80.71307,85.37411,86.18267,81.09496,85.37321,85.39434,96.08576,77.51474,89.23275,83.00391,85.32653
457,80.20355,83.7795,78.4278,85.30803,86.55482,82.86408,93.2543,80.77963,79.42481,86.33315,86.60672,79.61253,86.57153,86.31817,91.15918,76.55869,89.06145,83.48361,86.04659
458,76.73136,80.92874,76.3987,87.28266,86.88008,81.89544,84.82853,79.17665,76.15416,86.79174,87.78754,76.33734,88.36317,85.83815,84.83168,73.69031,88.07205,82.66208,83.69831
459,77.76338,82.42337,77.1769,83.69616,85.14882,81.55617,82.04652,79.38764,77.1744,85.00643,86.16137,77.20044,84.96304,85.22134,83.24331,74.71934,86.42151,81.86368,83.16851
460,74.47647,78.53793,73.83215,81.13554,82.64265,78.8557,79.13669,76.05305,73.90047,82.46098,83.45163,73.92156,82.39098,82.39625,80.78253,71.61425,83.39638,79.16881,80.89493
461,79.55051,80.2887,78.95388,82.17445,85.13634,81.49331,81.98459,81.03411,79.216,84.92962,86.05193,79.59614,83.3152,85.64,83.37514,76.72522,86.06459,82.301,83.55
462,81.19722,79.80313,81.2653,81.90942,86.12878,83.24242,83.9095,83.34229,81.47534,85.89288,87.23363,81.7284,82.96521,87.05917,85.45478,79.34901,87.91841,83.6224,85.67433
463,72.06024,75.91995,71.1837,69.29067,75.14653,72.51692,72.80419,73.49658,72.16336,74.90346,76.35454,71.21316,70.97009,76.54605,74.40995,68.73823,75.68424,73.20195,74.88136
464,56.89927,60.0285,56.88132,53.32805,68.95124,58.80425,59.28905,58.99408,57.85938,69.45908,67.2885,55.04884,55.02185,64.16628,60.45017,55.66204,62.36542,59.13942,60.73746
465,49.146,52.73124,49.68567,46.266,66.15426,52.45357,52.72072,51.62522,50.83977,67.00924,63.20456,48.04531,47.60178,58.73735,53.69852,47.2118,55.40298,52.65661,53.93362
466,51.65702,53.39189,51.3693,48.35878,68.98079,54.32597,54.47012,53.60377,52.92614,69.90159,65.8354,49.56057,48.91324,61.2991,55.56796,48.49779,57.22025,54.72518,56.04479
467,59.08041,61.31912,58.84516,55.10909,72.41384,61.38482,61.98146,61.92951,61.05534,72.86237,70.8772,55.2473,56.57243,68.0761,62.86072,55.68323,65.37289,61.88725,62.90468
468,63.6477,65.97443,62.89902,58.72732,85.18098,67.02556,67.46467,66.24156,65.80893,86.14004,81.70837,60.67084,60.33966,76.38995,68.50755,62.27086,71.49896,67.53328,68.91921
469,66.28317,69.13877,65.69113,61.82552,77.63423,67.79499,68.3539,69.27123,68.93616,77.75,77.18693,63.37328,63.5162,75.52182,69.24814,63.31678,72.63649,68.49362,69.79307
470,71.36126,75.32475,71.39057,66.7089,83.94799,73.17812,73.45147,74.20243,73.97955,84.04,83.52739,68.05334,68.24844,81.14598,74.84561,67.90566,79.37168,73.72003,75.08922
471,72.92675,75.77161,72.04797,67.37212,86.35491,79.11023,89.52749,76.69683,75.04613,85.95,87.94433,69.63923,68.9523,87.17956,87.46561,68.61197,88.77822,80.06168,80.70934
472,76.60482,74.85711,74.41278,59.26487,88.30946,84.33086,95.14521,81.17931,77.49731,87.58119,91.3839,72.64596,71.67855,91.66848,95.71839,71.13314,121.0545,85.99205,88.72331
473,88.50058,84.07736,85.76886,81.94264,85.36439,91.86862,107.04244,89.97888,89.35085,88.6295,95.82739,85.63318,85.25327,95.61029,105.69152,82.57582,100.35915,89.40512,91.0333
474,114.87132,108.29678,110.54174,104.84915,114.56207,108.15933,147.786,114.91714,114.34444,113.85193,117.95243,112.59199,109.73997,117.55154,140.74544,107.55227,123.18687,111.21752,115.36384
475,132.17963,123.59839,126.65756,123.67616,127.82419,120.85032,154.95601,131.4278,130.33894,127.0594,131.50557,129.80746,125.45204,131.22038,149.92738,123.70209,135.71129,124.66132,127.69639
476,116.56196,107.93745,111.15028,108.21088,112.77948,106.66143,138.54726,115.0353,114.08968,112.11868,115.90117,113.99853,110.28441,115.5252,133.16576,108.5071,116.9835,109.9654,111.69714
477,102.94177,96.24468,99.17992,96.78471,102.58005,96.91568,110.24606,102.62395,101.90475,102.06896,104.9638,102.11852,99.17428,104.82026,110.31115,97.10022,107.28083,99.87862,100.39124
478,84.53005,85.15726,81.50541,84.94314,88.15697,83.71676,95.11344,84.30318,83.29317,87.87553,88.96105,82.95506,87.24132,88.75163,94.65981,79.35662,91.37814,85.18272,86.23856
479,80.41599,79.36251,78.35319,82.71035,85.32945,81.156,94.21393,80.75204,79.69407,85.07682,86.14634,79.61455,84.41131,85.89431,92.23117,76.65555,86.90245,82.58422,84.07964
480,76.94388,80.41125,75.78536,82.89353,83.32095,79.24379,101.02841,77.93648,76.59486,83.0894,83.61615,76.33421,84.25341,83.59154,94.87954,73.78004,84.42007,80.53171,81.45868
481,77.52946,80.16197,76.55861,83.2133,83.27926,79.18951,97.62592,79.20961,76.6956,83.04966,83.39812,76.50517,84.58149,83.43107,92.33213,73.95804,84.0323,80.5814,81.65208
482,76.72731,81.79793,75.4374,81.99965,81.73738,77.91106,96.77321,77.79025,75.52599,81.54286,81.81392,75.20933,83.12772,81.93563,90.44943,72.88191,82.23585,79.20931,80.09374
483,75.30435,81.06835,74.53655,79.56751,78.77478,76.95372,78.96564,77.09936,74.6169,79.68873,80.19028,74.30896,80.72853,80.23799,78.77478,72.06121,80.97755,77.62966,78.69526
484,76.52085,81.63077,75.1753,88.54777,80.33917,78.61547,80.64813,77.74459,75.3499,81.4626,81.76204,74.80914,83.45397,82.07913,80.46113,72.68745,82.2824,79.3147,80.46926
485,80.37985,87.65315,79.62878,92.30337,83.56602,81.29003,83.11592,81.97457,79.88066,84.50345,85.37492,79.40032,86.16331,85.70612,83.62546,76.91781,85.82502,82.59787,83.37918
486,91.67706,92.05393,91.61843,99.27044,97.83862,101.00935,89.41882,94.68348,91.75867,97.56674,99.05098,91.0188,97.38655,99.49529,94.5531,88.42093,98.37046,95.82955,94.97198
487,78.47019,77.66596,78.24685,66.37827,82.92189,82.04945,86.84582,81.16854,79.46582,82.64534,84.50451,77.84404,76.92547,84.64597,86.96927,74.81544,84.1671,80.72473,82.7685
488,66.27122,71.06684,66.38606,24.56,82.27267,68.78878,83.22847,69.50011,68.10644,82.66146,80.20144,64.55075,63.93945,76.37789,80.40826,64.54247,74.10903,70.14534,72.04593
489,64.75336,70.7326,65.58203,21.72,99.67965,70.04918,71.58458,68.97151,67.27794,101.07275,92.33263,63.0918,61.22373,82.90213,72.83753,61.54377,74.45984,71.7077,73.22138
