,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
560,49.74588,49.59705,49.28415,37.2041,77.4918,75.33247,75.52245,51.22816,50.50578,77.45963,79.4098,48.19227,37.75915,77.61648,77.15593,48.58056,79.98201,76.26104,77.4763
561,26.34558,27.541,27.32757,12.08024,64.01054,67.16976,69.8924,28.6176,27.48928,63.82751,69.54628,25.04653,12.11003,68.46504,73.31839,27.33738,77.60272,67.41731,71.57119
562,22.76532,21.49122,24.35545,2.5271,55.64854,64.89372,66.72658,23.72007,22.44596,59.19419,65.69232,21.48815,2.5271,65.3599,68.58542,25.9248,71.70438,64.97446,65.91798
563,19.40883,20.46129,21.30754,3.44078,50.209,60.15383,61.97621,22.13793,21.29656,56.97,65.18496,18.73403,3.19817,62.68539,62.14294,23.12404,66.27026,61.31685,61.36847
564,21.55412,23.20585,23.33135,9.87359,53.85767,57.83742,59.45385,24.32018,23.64032,57.56894,64.04135,20.97341,9.70638,60.85192,58.73834,25.70256,61.93757,59.00322,58.11287
565,20.39283,21.84303,24.72,15.28664,52.95113,57.49183,58.61769,23.22815,22.24448,57.25,63.62143,19.68828,15.22614,60.22878,57.2871,24.44085,60.81714,58.63995,56.93537
566,22.67976,24.40045,25.92932,17.52717,52.59329,57.00567,58.84569,27.28576,24.35784,57.22,62.1302,21.86429,17.3859,59.92242,58.48127,25.7632,61.26347,58.14671,57.50351
567,30.00607,31.88453,31.14945,29.88824,59.71745,60.43945,63.08837,34.19089,31.71898,57.09346,62.57734,29.2665,30.73854,61.88275,65.22376,30.76078,69.14113,60.68652,64.16567
568,45.844,48.92403,46.47155,44.71165,65.44795,65.28029,68.43651,51.24536,47.91812,61.92005,67.58899,46.48176,44.77599,66.71957,71.28128,45.80861,75.46945,65.48604,70.24109
569,72.1512,70.08123,69.57282,65.2129,72.66688,75.65098,75.44139,72.59121,72.12215,72.37636,78.69731,71.8171,66.67277,77.59228,82.21783,68.66369,87.38291,76.00168,82.24325
570,82.51664,77.10852,79.20488,76.55036,80.80366,83.3265,83.16103,83.27744,81.51332,80.50185,87.07175,81.83145,75.98752,85.54872,90.46973,77.48628,95.81258,83.89284,91.47713
571,80.11827,74.92852,76.499,75.4307,79.61604,79.67789,78.61366,79.13772,79.21744,79.24933,83.77746,79.74359,76.0286,82.04157,84.91752,75.40667,88.54281,80.45515,86.56173
572,72.34225,72.34225,72.34225,68.33739,72.34225,77.18146,79.35076,72.34225,72.34225,72.34225,76.18024,72.34225,68.33739,76.68085,81.68693,70.74926,84.0231,76.51398,80.51884
573,71.78476,73.05007,68.93063,67.50166,71.78476,73.03691,75.38973,71.10178,71.35341,71.51876,75.97995,71.66254,67.95459,74.56759,78.74577,68.06661,81.71358,73.4173,78.71377
574,66.98677,67.68552,64.26497,63.95984,66.10169,64.81443,66.88024,66.24144,66.42111,65.85546,67.97069,66.60745,64.69851,66.27975,68.16681,63.57001,69.43341,65.47452,68.90074
575,56.99823,56.80405,57.2064,56.53356,62.83756,63.63631,64.14263,57.15086,56.95668,62.83756,63.65429,56.80405,56.53356,63.65282,64.731,57.03502,65.49956,63.56929,64.26311
576,57.23493,57.90586,55.02008,66.71551,62.00675,60.40383,61.16146,56.63913,56.9469,61.85022,63.20268,56.64731,67.71734,62.65168,65.34223,55.24718,67.55301,61.09885,65.39519
577,55.68368,55.87858,53.05873,60.93211,58.44366,56.87716,57.66041,54.5096,54.88491,58.30232,59.5037,54.60064,62.00982,58.87946,60.68402,53.23485,62.4405,57.48962,60.8618
578,53.58081,54.63832,51.60044,58.18028,58.17968,56.46527,57.29115,53.0635,53.28732,58.04236,59.14093,53.11636,58.92982,58.56206,59.56372,51.85486,61.26149,57.10945,59.28805
579,53.07633,54.46934,51.51519,58.60992,58.17175,56.59014,57.33429,52.92891,53.19733,58.03405,59.19308,53.0349,59.45911,58.63752,59.78093,51.76891,61.53308,57.23252,59.48825
580,56.34689,57.81899,54.73688,62.23254,59.81399,58.36336,59.00406,56.28533,56.4568,59.69915,61.00471,56.33815,63.09687,60.39424,61.79164,54.87255,63.30027,59.04032,61.72581
581,62.30254,63.75667,60.14185,68.92654,69.79755,67.91227,68.81848,61.90008,62.04142,69.62757,71.28656,62.17139,69.97361,70.50819,71.73768,60.40218,73.66864,68.74965,70.94442
582,73.46947,70.23719,70.67042,73.36245,74.54831,72.2786,71.32759,72.87895,73.25099,74.32358,76.35359,73.01627,74.18644,75.59702,74.76161,70.62923,76.79314,73.42469,75.94289
583,65.13364,65.9787,63.34444,65.91457,85.46951,82.40367,80.12666,65.74515,65.36319,85.15139,87.64332,64.50173,66.65684,86.33021,86.07527,63.54971,88.94939,83.73706,86.07174
584,39.80545,38.49591,41.11498,21.14463,79.41875,78.10922,78.10922,40.78759,39.47806,79.41875,79.41875,38.49591,21.14463,79.09137,80.40858,42.75189,79.41875,78.76398,76.4723
585,22.07108,20.80702,23.72908,16.63507,65.01986,62.5769,63.29904,23.13641,21.88546,65.04387,65.91182,20.68698,16.63507,65.66148,84.63698,25.4002,65.80117,64.75307,62.6784
586,19.37366,18.35918,20.7455,9.88498,51.88078,54.22835,55.93666,20.37598,19.00819,55.83405,60.77619,18.35715,9.88498,59.50691,77.81059,21.89872,60.17056,58.10366,56.15157
587,16.2877,15.01767,17.74522,6.0313,59.081,52.81236,54.7156,19.01063,16.10869,59.25593,88.74,15.01767,6.0313,59.36869,69.6661,19.20274,58.72333,57.7315,55.14754
588,14.73652,15.17487,16.17453,6.06933,52.04419,48.9898,50.8345,16.93058,16.2594,55.09519,59.45765,13.84603,5.98611,57.17393,53.24155,16.65443,55.48889,54.09583,51.79364
589,13.8808,14.43568,15.10176,4.2578,59.99857,47.94808,49.85756,15.92138,15.04097,60.17478,60.36429,12.78618,4.21776,57.24165,51.77257,19.75313,54.14789,54.35058,50.23869
590,16.33126,17.29417,17.5593,12.73723,56.19258,49.63675,51.72406,19.60904,17.75935,56.15677,58.23695,15.38758,12.72281,56.89904,53.93821,18.14476,56.50073,54.26142,52.76093
591,25.63736,26.72681,26.21687,17.24059,54.54542,52.03956,52.55429,28.63322,27.18515,54.73575,56.88476,24.52138,17.89944,55.45828,54.90398,30.39272,57.87171,53.16431,53.35769
592,47.15591,50.63084,47.00685,42.8469,56.76769,58.98101,62.74807,51.95412,49.50004,56.60621,61.54111,47.43761,43.11257,61.60294,65.19068,48.08596,69.31294,59.2967,63.93543
593,72.0459,70.16192,68.2996,63.82019,71.82935,74.48624,74.96651,70.54449,72.26967,71.55506,77.9978,70.7827,65.42266,78.29742,82.60954,68.53059,86.89528,75.11052,81.1888
594,85.42649,80.97957,80.03628,82.30064,83.25356,79.95056,77.71758,83.56519,84.50005,82.95879,85.75754,83.54834,81.77004,85.41861,83.0828,80.22999,85.91089,81.94092,84.48496
595,81.72808,77.40993,76.23204,78.75619,82.22015,78.84754,76.72377,79.12218,80.82651,81.85913,84.52577,80.38015,79.74079,84.11026,82.22247,76.7749,85.08244,80.70812,83.08561
596,70.76138,70.58446,70.96778,74.44712,76.21628,75.98039,76.18679,70.90881,70.70241,76.21628,76.21628,70.58446,74.44712,76.12782,76.39319,70.50731,76.74702,76.03936,76.09833
597,71.3596,68.18653,67.35872,72.84548,77.36541,74.51322,76.2232,69.73994,70.87425,77.08921,79.23913,70.53055,73.41282,78.81338,78.32124,68.00115,80.69586,76.02128,78.11907
598,65.42441,65.78023,61.77203,69.09107,74.34171,71.70982,73.77908,64.24519,64.86141,74.09572,75.93709,64.71195,69.95553,75.28901,75.35563,62.48449,77.25069,72.93346,74.31172
599,60.9838,60.43163,57.54855,66.7709,72.42878,69.91837,72.00303,59.50076,60.46096,72.22756,73.75686,60.18345,67.58921,73.05997,73.32337,58.4495,75.53478,70.99123,72.63421
600,51.88045,51.5634,49.75255,59.4818,65.71964,63.87042,65.00668,51.17298,51.15696,65.57798,66.71128,50.94362,60.27276,65.25122,66.83355,50.44611,69.18534,64.4181,66.4035
601,50.98817,50.10979,48.45565,56.3143,61.95067,60.29189,61.27242,50.07564,49.90891,61.81512,62.88824,49.62971,57.3027,61.49171,62.89682,49.02388,64.77783,60.82943,62.46268
602,50.92272,51.10505,48.85935,56.18269,61.6385,59.91742,60.9043,50.58287,50.27348,61.50292,62.60456,50.1842,56.97361,61.36822,62.44527,49.41144,64.19959,60.49322,61.71848
603,51.42231,52.08749,49.70906,57.6062,63.05525,61.37569,62.26929,51.03653,51.01539,62.9226,64.01263,51.19932,58.4021,62.75055,63.96455,50.27393,65.86967,61.91365,63.1988
604,54.9659,56.14445,52.98138,60.56683,63.23133,61.56975,62.87765,54.41278,54.71316,63.00879,64.11551,55.2454,61.39086,62.72676,64.48161,53.54997,66.23028,62.12278,64.14656
605,66.37435,67.40962,63.64498,74.82903,74.57403,72.95597,74.90157,65.4244,65.92072,74.39195,75.98697,67.00176,75.92151,74.32504,77.22636,64.20032,79.59459,73.46867,76.84095
606,78.36594,80.07925,75.75191,79.20826,82.89875,80.4299,80.56377,78.09804,78.45196,82.66298,84.60602,79.4126,80.21636,82.68226,83.20164,75.90205,85.72608,81.43971,84.03012
607,81.19303,78.33056,70.44686,81.34027,84.71466,81.8326,82.20346,75.70019,78.41482,84.39357,86.59998,80.58351,82.37764,80.56266,85.15951,61.64587,88.36281,82.96064,85.94118
608,55.10091,54.69199,47.22334,52.60394,68.13056,65.94319,64.62137,52.7082,53.78305,67.88651,69.73417,53.43744,53.96348,68.23266,68.27015,39.39709,70.59873,66.66933,68.11419
609,39.09531,31.12346,26.24651,23.54326,64.32818,65.28436,67.711,34.01342,31.77024,63.76062,67.44882,28.97887,24.26712,68.05866,70.14777,18.08179,72.96015,66.5645,68.80746
610,27.05095,28.64619,24.89099,20.03367,64.00955,62.11655,64.52937,29.04964,28.03342,63.6879,67.68655,26.61203,20.59942,67.01293,66.84925,19.77803,69.9466,64.84482,65.60587
611,24.16484,25.0004,21.79056,16.17099,60.79041,55.29679,57.8366,25.52846,24.82281,60.68863,63.41051,23.30966,16.04835,61.83431,59.90766,17.42611,62.96344,59.33236,58.83619
612,42.03106,24.52652,18.33334,16.10258,59.75258,53.41567,55.38727,26.14198,25.20218,59.6975,60.74153,24.52652,16.10258,59.2765,57.08951,5.33429,59.19841,57.75557,55.68834
613,23.42387,24.82463,20.9803,15.05722,59.95963,54.27876,57.03077,23.20715,24.23927,59.92346,62.60407,22.56584,15.03282,60.60585,59.07271,21.41456,62.2478,58.34393,57.09797
