Time,Location,LMP
2022-01-01 02:30:00-08:00,REDMGEN_7_N003,58.13419
2022-01-01 02:30:00-08:00,RENFRO_1_N001,58.13419
2022-01-01 02:30:00-08:00,SHELL3_7_B2,58.13419
2022-01-01 02:30:00-08:00,SPIJCT_6_B1,58.13419
2022-01-01 02:30:00-08:00,TOT210S1_7_N002,58.13419
2022-01-01 02:30:00-08:00,TULLOCH_7_B2,58.13419
2022-01-01 02:30:00-08:00,VACA-DIX_1_B1,58.13419
2022-01-01 02:30:00-08:00,WISE1_7_B1,58.13419
2022-01-01 02:45:00-08:00,ALTA1G_7_B1,58.13419
2022-01-01 02:45:00-08:00,BIGCRK3_2_B1,58.13419
2022-01-01 02:45:00-08:00,C493GEN_7_N003,58.13419
2022-01-01 02:45:00-08:00,CUYAMAGN_7_N001,58.13419
2022-01-01 02:45:00-08:00,IBM-CTLE_1_N002,58.13419
2022-01-01 02:45:00-08:00,JESSUP_1_GN001,58.13419
2022-01-01 02:45:00-08:00,KANAKAJT_1_B1,58.13419
2022-01-01 02:45:00-08:00,KEARNY_7_GNU1N,58.13419
2022-01-01 02:45:00-08:00,LBEACH1G_7_N001,58.13419
2022-01-01 02:45:00-08:00,MECCTG2_7_B2,58.13419
2022-01-01 02:45:00-08:00,MILPITAS_1_N001,58.13419
2022-01-01 02:45:00-08:00,REDMGEN_7_N003,58.13419
2022-01-01 02:45:00-08:00,RENFRO_1_N001,58.13419
2022-01-01 02:45:00-08:00,SHELL3_7_B2,58.13419
2022-01-01 02:45:00-08:00,SPIJCT_6_B1,58.13419
2022-01-01 02:45:00-08:00,TOT210S1_7_N002,58.13419
2022-01-01 02:45:00-08:00,TULLOCH_7_B2,58.13419
2022-01-01 02:45:00-08:00,VACA-DIX_1_B1,58.13419
2022-01-01 02:45:00-08:00,WISE1_7_B1,58.13419
2022-01-01 03:00:00-08:00,ALTA1G_7_B1,62.17618
2022-01-01 03:00:00-08:00,BIGCRK3_2_B1,58.60502
2022-01-01 03:00:00-08:00,C493GEN_7_N003,57.90153
2022-01-01 03:00:00-08:00,CUYAMAGN_7_N001,59.22506
2022-01-01 03:00:00-08:00,IBM-CTLE_1_N002,62.46831
2022-01-01 03:00:00-08:00,JESSUP_1_GN001,60.50686
2022-01-01 03:00:00-08:00,KANAKAJT_1_B1,60.92419
2022-01-01 03:00:00-08:00,KEARNY_7_GNU1N,60.26242
2022-01-01 03:00:00-08:00,LBEACH1G_7_N001,60.88245
2022-01-01 03:00:00-08:00,MECCTG2_7_B2,62.12252
2022-01-01 03:00:00-08:00,MILPITAS_1_N001,63.55933
2022-01-01 03:00:00-08:00,REDMGEN_7_N003,60.97784
2022-01-01 03:00:00-08:00,RENFRO_1_N001,59.82124
2022-01-01 03:00:00-08:00,SHELL3_7_B2,64.60861
2022-01-01 03:00:00-08:00,SPIJCT_6_B1,61.36536
2022-01-01 03:00:00-08:00,TOT210S1_7_N002,57.13245
2022-01-01 03:00:00-08:00,TULLOCH_7_B2,59.51123
2022-01-01 03:00:00-08:00,VACA-DIX_1_B1,61.22228
